metadata_location_name,metadata_series_label,start_year,end_year,resolved_location_name,resolved_location_id,resolved_species_name,resolved_species_id,records_downloaded,output_file,source_urls,status
Buskin River,steelhead,2006,2025,Buskin River,28,Steelhead,540,2107,adfg_fish_counts\series\buskin_river__steelhead__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=28&speciesID=540&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=28&speciesID=540&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=28&speciesID=540&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=28&speciesID=540&year=2010%2C2009%2C2008%2C2007%2C2006,success
Chena River,chinook,2002,2025,Chena River,37,Chinook,410,778,adfg_fish_counts\series\chena_river__chinook__2002_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=37&speciesID=410&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=37&speciesID=410&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=37&speciesID=410&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=37&speciesID=410&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=37&speciesID=410&year=2005%2C2004%2C2003%2C2002,success
Chena River,chum,2005,2025,Chena River,37,Chum,450,656,adfg_fish_counts\series\chena_river__chum__2005_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=37&speciesID=450&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=37&speciesID=450&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=37&speciesID=450&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=37&speciesID=450&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=37&speciesID=450&year=2005,success
Chignik River,chinook,2006,2025,Chignik River,30,Chinook,410,1476,adfg_fish_counts\series\chignik_river__chinook__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=410&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=410&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=410&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=410&year=2010%2C2009%2C2008%2C2007%2C2006,success
Chignik River,chum,2006,2025,Chignik River,30,Chum,450,994,adfg_fish_counts\series\chignik_river__chum__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=450&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=450&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=450&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=450&year=2010%2C2009%2C2008%2C2007%2C2006,success
Chignik River,coho,2006,2025,Chignik River,30,Coho,430,461,adfg_fish_counts\series\chignik_river__coho__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=430&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=430&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=430&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=430&year=2010%2C2009%2C2008%2C2007%2C2006,success
Chignik River,pink,2006,2025,Chignik River,30,Pink,440,1233,adfg_fish_counts\series\chignik_river__pink__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=440&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=440&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=440&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=440&year=2010%2C2009%2C2008%2C2007%2C2006,success
Chignik River,sockeye,2006,2025,Chignik River,30,Sockeye,420,1926,adfg_fish_counts\series\chignik_river__sockeye__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=420&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=420&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=420&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=30&speciesID=420&year=2010%2C2009%2C2008%2C2007%2C2006,success
Coghill River,chum,2012,2025,Coghill River,7,Chum,450,56,adfg_fish_counts\series\coghill_river__chum__2012_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=450&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=450&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=450&year=2015%2C2014%2C2013%2C2012,success
Coghill River,pink,2011,2025,Coghill River,7,Pink,440,176,adfg_fish_counts\series\coghill_river__pink__2011_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=440&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=440&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=440&year=2015%2C2014%2C2013%2C2012%2C2011,success
Coghill River,sockeye,1974,2025,Coghill River,7,Sockeye,420,2696,adfg_fish_counts\series\coghill_river__sockeye__1974_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=420&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=420&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=420&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=420&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=420&year=2005%2C2004%2C2003%2C2002%2C2001 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=420&year=2000%2C1999%2C1998%2C1997%2C1996 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=420&year=1995%2C1994%2C1993%2C1992%2C1991 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=420&year=1990%2C1989%2C1988%2C1987%2C1986 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=420&year=1985%2C1984%2C1983%2C1982%2C1981 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=420&year=1980%2C1979%2C1978%2C1977%2C1976 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=7&speciesID=420&year=1975%2C1974,success
Copper River (Miles L),sockeye,1978,2025,Copper River (Miles L),39,Sockeye,420,3673,adfg_fish_counts\series\copper_river_miles_l__sockeye__1978_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=39&speciesID=420&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=39&speciesID=420&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=39&speciesID=420&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=39&speciesID=420&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=39&speciesID=420&year=2005%2C2004%2C2003%2C2002%2C2001 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=39&speciesID=420&year=2000%2C1999%2C1998%2C1997%2C1996 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=39&speciesID=420&year=1995%2C1994%2C1993%2C1992%2C1991 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=39&speciesID=420&year=1990%2C1989%2C1988%2C1987%2C1986 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=39&speciesID=420&year=1985%2C1984%2C1983%2C1982%2C1981 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=39&speciesID=420&year=1980%2C1979%2C1978,success
Cottonwood Creek,chinook,1997,2002,Cottonwood Creek,20,Chinook,410,293,adfg_fish_counts\series\cottonwood_creek__chinook__1997_2002.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=20&speciesID=410&year=2002%2C2001%2C2000%2C1999%2C1998 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=20&speciesID=410&year=1997,success
Cottonwood Creek,coho,1997,2004,Cottonwood Creek,20,Coho,430,575,adfg_fish_counts\series\cottonwood_creek__coho__1997_2004.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=20&speciesID=430&year=2004%2C2003%2C2002%2C2001%2C2000 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=20&speciesID=430&year=1999%2C1998%2C1997,success
Crescent River,sockeye,1979,2012,Crescent River,42,Sockeye,420,1292,adfg_fish_counts\series\crescent_river__sockeye__1979_2012.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=42&speciesID=420&year=2012%2C2011%2C2010%2C2009%2C2008 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=42&speciesID=420&year=2007%2C2006%2C2005%2C2004%2C2003 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=42&speciesID=420&year=2002%2C2001%2C2000%2C1999%2C1998 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=42&speciesID=420&year=1997%2C1996%2C1995%2C1994%2C1993 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=42&speciesID=420&year=1992%2C1991%2C1990%2C1989%2C1988 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=42&speciesID=420&year=1987%2C1986%2C1985%2C1984%2C1983 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=42&speciesID=420&year=1982%2C1981%2C1980%2C1979,success
Crooked Creek,chinook,2005,2025,Crooked Creek,15,Chinook,410,1417,adfg_fish_counts\series\crooked_creek__chinook__2005_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=15&speciesID=410&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=15&speciesID=410&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=15&speciesID=410&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=15&speciesID=410&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=15&speciesID=410&year=2005,success
Deep Creek,chinook,2018,2020,Deep Creek,11,Chinook,410,241,adfg_fish_counts\series\deep_creek__chinook__2018_2020.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=11&speciesID=410&year=2020%2C2019%2C2018,success
Deshka,chinook,1995,2025,Deshka,17,Chinook,410,2985,adfg_fish_counts\series\deshka__chinook__1995_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=410&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=410&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=410&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=410&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=410&year=2005%2C2004%2C2003%2C2002%2C2001 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=410&year=2000%2C1999%2C1998%2C1997%2C1996 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=410&year=1995,success
Deshka,chum,1996,2025,Deshka,17,Chum,450,879,adfg_fish_counts\series\deshka__chum__1996_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=450&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=450&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=450&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=450&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=450&year=2010 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=450&year=2009 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=450&year=2008 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=450&year=2007 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=450&year=2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=450&year=2005%2C2004%2C2003%2C2002%2C2001 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=450&year=2000%2C1999%2C1998%2C1997%2C1996,success
Deshka,coho,1996,2025,Deshka,17,Coho,430,1712,adfg_fish_counts\series\deshka__coho__1996_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=430&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=430&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=430&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=430&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=430&year=2005%2C2004%2C2003%2C2002%2C2001 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=430&year=2000%2C1999%2C1998%2C1997%2C1996,success
Deshka,pink,1996,2025,Deshka,17,Pink,440,1656,adfg_fish_counts\series\deshka__pink__1996_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=440&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=440&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=440&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=440&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=440&year=2005%2C2004%2C2003%2C2002%2C2001 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=440&year=2000%2C1999%2C1998%2C1997%2C1996,success
Deshka,sockeye,1996,2025,Deshka,17,Sockeye,420,975,adfg_fish_counts\series\deshka__sockeye__1996_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=420&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=420&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=420&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=420&year=2010%2C2009%2C2008%2C2007%2C2006 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=420&year=2005%2C2004%2C2003%2C2002%2C2001 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=17&speciesID=420&year=2000%2C1999%2C1998%2C1997%2C1996,success
Dog Salmon River,chinook,2006,2025,Dog Salmon River,27,Chinook,410,1228,adfg_fish_counts\series\dog_salmon_river__chinook__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=410&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=410&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=410&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=410&year=2010%2C2009%2C2008%2C2007%2C2006,success
Dog Salmon River,chum,2006,2025,Dog Salmon River,27,Chum,450,1134,adfg_fish_counts\series\dog_salmon_river__chum__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=450&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=450&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=450&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=450&year=2010%2C2009%2C2008%2C2007%2C2006,success
Dog Salmon River,coho,2006,2025,Dog Salmon River,27,Coho,430,260,adfg_fish_counts\series\dog_salmon_river__coho__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=430&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=430&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=430&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=430&year=2010%2C2009%2C2008%2C2007%2C2006,success
Dog Salmon River,pink,2006,2025,Dog Salmon River,27,Pink,440,979,adfg_fish_counts\series\dog_salmon_river__pink__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=440&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=440&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=440&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=440&year=2010%2C2009%2C2008%2C2007%2C2006,success
Dog Salmon River,sockeye,2006,2025,Dog Salmon River,27,Sockeye,420,1549,adfg_fish_counts\series\dog_salmon_river__sockeye__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=420&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=420&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=420&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=420&year=2010%2C2009%2C2008%2C2007%2C2006,success
Dog Salmon River,steelhead,2006,2025,Dog Salmon River,27,Steelhead,540,1457,adfg_fish_counts\series\dog_salmon_river__steelhead__2006_2025.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=540&year=2025%2C2024%2C2023%2C2022%2C2021 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=540&year=2020%2C2019%2C2018%2C2017%2C2016 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=540&year=2015%2C2014%2C2013%2C2012%2C2011 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=27&speciesID=540&year=2010%2C2009%2C2008%2C2007%2C2006,success
Egegik River,sockeye,1957,2011,Egegik River,45,Sockeye,420,1588,adfg_fish_counts\series\egegik_river__sockeye__1957_2011.csv,https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=45&speciesID=420&year=2011%2C2010%2C2009%2C2008%2C2007 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=45&speciesID=420&year=2006%2C2005%2C2004%2C2003%2C2002 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=45&speciesID=420&year=2001%2C2000%2C1999%2C1998%2C1997 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=45&speciesID=420&year=1996%2C1995%2C1994%2C1993%2C1992 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=45&speciesID=420&year=1991%2C1990%2C1989%2C1988%2C1987 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=45&speciesID=420&year=1986%2C1985%2C1984%2C1983%2C1982 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=45&speciesID=420&year=1981%2C1980%2C1979%2C1978%2C1977 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=45&speciesID=420&year=1976%2C1975%2C1974%2C1973%2C1972 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=45&speciesID=420&year=1971%2C1970%2C1969%2C1968%2C1967 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=45&speciesID=420&year=1966%2C1965%2C1964%2C1963%2C1962 | https://www.adfg.alaska.gov/sf/FishCounts/index.cfm?ADFG=export.excel&countLocationID=45&speciesID=420&year=1961%2C1960%2C1959%2C1958%2C1957,success
